Customer Name,Sales,Profit,Quantity,Orders,Avg_Discount,Profit Margin
Berenike Kampe,659.1379999999999,-63.764399999999995,58,6,0.20625000000000002,-9.673907436682455
Beth Fritzler,791.9899999999999,25.870199999999997,11,3,0.15000000000000002,3.2664806373817847
Beth Paige,2475.157,-319.0637,51,7,0.3,-12.890644916665892
Beth Thompson,2567.656,417.5918,33,5,0.044444444444444446,16.26354153360107
Bill Donatelli,5718.521,1094.5037,75,12,0.07894736842105263,19.139628935523714
Bill Eplett,4204.676,1487.7739000000001,35,5,0.022222222222222223,35.38379413776472
Bill Overfelt,2682.728,278.77700000000004,43,5,0.2333333333333333,10.391549199173381
Bill Shonely,10501.653,2616.0643999999998,39,5,0.011111111111111112,24.910977348042255
Bill Stewart,3887.834,-17.532200000000024,58,5,0.27692307692307694,-0.45095032349632275
Bill Tyler,2186.6130000000003,257.9163,38,6,0.15,11.795242230792551
Bobby Elias,2261.438,755.9150999999999,19,5,0.16,33.42630220240395
Bobby Odegard,130.83,59.4522,7,2,0.0,45.442329740885114
Bobby Trafton,603.876,-77.5256,16,4,0.15714285714285717,-12.837999854274717
Brad Eason,1727.652,139.20080000000002,40,6,0.14615384615384613,8.057224487338885
Brad Norvell,265.296,36.6131,15,4,0.16666666666666666,13.800848863156626
Brad Thomas,415.19599999999997,126.8694,11,2,0.06666666666666667,30.556508251524583
Bradley Drucker,4411.2429999999995,1142.1225,49,6,0.135,25.891171717359484
Bradley Nguyen,1459.344,340.7054,79,5,0.023529411764705882,23.346476224933944
Bradley Talbott,2684.4919999999997,409.4983,44,5,0.1,15.254219420285104
Brenda Bowman,6765.728,1015.0749999999999,83,9,0.195,15.003189605021069
Brendan Dodson,320.54,116.714,11,2,0.0,36.411680289511445
Brendan Murry,808.162,95.58160000000001,22,6,0.18,11.827034678690659
Brendan Sweed,2454.928,381.7807,41,6,0.3,15.551604772115518
Brian Dahlen,3288.471,634.8463,74,7,0.0725,19.305212057518524
Brian DeCherney,1538.11,206.75689999999997,27,6,0.17500000000000002,13.442270058708413
Brian Derr,582.646,141.53400000000002,19,3,0.1,24.291593866601684
Brian Moss,7294.185,2199.2781,95,11,0.08448275862068966,30.15111489494714
Brian Stugart,3288.1099999999997,238.73680000000002,47,3,0.18181818181818182,7.260608677933525
Brian Thompson,3196.752,447.74839999999995,88,7,0.07,14.006353949258497
Brooke Gillingham,1874.172,107.5715,24,6,0.1375,5.739681309933133
Brosina Hoffman,6255.351,802.7898,97,8,0.18333333333333335,12.833649142949774
Bruce Degenhardt,1526.5,333.9791,29,6,0.02,21.878748771699968
Bruce Geld,1006.356,119.34790000000001,22,6,0.14285714285714285,11.859411579997536
Bruce Stewart,2562.382,-113.29840000000003,45,7,0.13214285714285715,-4.4216045851087005
Bryan Davis,658.466,141.265,21,6,0.12000000000000002,21.45365136544635
Bryan Mills,1338.842,137.7439,44,10,0.25,10.288286444554323
Bryan Spruell,949.4300000000001,194.0516,22,2,0.0,20.438747459001718
Candace McMahon,1673.888,214.463,38,6,0.12000000000000002,12.812267009501232
Cari Sayre,1278.954,185.3776,22,5,0.275,14.494469699457527
Cari Schnelling,537.632,105.8275,16,6,0.2285714285714286,19.684003184334266
Carl Jackson,16.52,1.652,5,1,0.2,10.0
Carl Ludwig,1262.0140000000001,328.0847,24,4,0.05714285714285715,25.996914455782576
Carl Weiss,1136.592,370.8298,40,6,0.09090909090909091,32.626465785435755
Carlos Daly,2033.968,426.661,35,5,0.044444444444444446,20.97678036232625
Carlos Meador,565.392,-43.732400000000005,18,2,0.2,-7.734881285904294
Carlos Soltero,3036.547,-126.4223,68,11,0.2636363636363636,-4.163357260730692
Carol Adams,3789.7228,1143.3817,29,6,0.11200000000000002,30.170589257873953
Carol Darley,639.766,-206.7172,22,3,0.43333333333333335,-32.311376346976864
Carol Triggs,3241.898,161.22629999999995,60,8,0.16111111111111112,4.973207053398964
Caroline Jumper,11164.974,858.7414,83,8,0.1885,7.691387369106279
Cassandra Brandow,6076.139,150.2089,122,10,0.16346153846153846,2.4721109902192824
Catherine Glotzbach,904.4680000000001,86.5106,37,6,0.18888888888888888,9.564804946111966
Cathy Armstrong,1679.7240000000002,211.2559,49,5,0.3,12.57682214459042
Cathy Hwang,1537.236,195.15109999999999,13,3,0.15000000000000002,12.694934284651152
Cathy Prescott,5402.254,427.0258,57,8,0.14285714285714285,7.904585752539588
Chad Cunningham,1770.945,208.5912,46,6,0.21538461538461537,11.778525024774908
Chad McGuire,1661.6100000000001,409.0679,35,4,0.028571428571428574,24.618767340109894
Chad Sievert,884.64,143.8339,28,4,0.1142857142857143,16.25903192258998
Charles Crestani,2471.65,392.2825,31,7,0.08181818181818182,15.871280318815367
Charles McCrossin,2533.314,-394.3686,23,6,0.24285714285714285,-15.567300382029234
Charles Sheldon,844.4580000000001,113.1405,30,5,0.1625,13.398002032072643
Charlotte Melton,1475.144,91.2033,21,6,0.07142857142857142,6.1826709799178925
Chloris Kastensmidt,3154.855,141.2831,122,13,0.234375,4.478275546736696
Chris Cortes,3913.418,393.9618,81,12,0.11818181818181818,10.066949147778233
Chris McAfee,2305.712,365.0387,28,5,0.07500000000000001,15.831929573164386
Chris Selesnick,2754.216,738.3626,97,12,0.05714285714285715,26.80844930099891
Christina Anderson,2648.2872,279.6183,65,9,0.18941176470588236,10.55845831222535
Christina DeMoss,1205.584,233.0274,39,2,0.08461538461538462,19.329005693506215
Christina VanderZanden,2830.6279999999997,493.0861,54,5,0.07692307692307693,17.419671535786406
Christine Abelman,1421.954,246.02179999999998,25,4,0.11818181818181818,17.30167079947734
Christine Kargatis,2945.321,261.22090000000003,46,5,0.18333333333333335,8.869012919135132
Christine Phan,5888.275,-1850.3029000000001,59,8,0.21333333333333335,-31.423513677605076
Christine Sundaresam,3202.1620000000003,831.9432,74,11,0.08181818181818182,25.98067180860931
Christopher Conant,12129.072000000002,2177.0493,34,5,0.2818181818181818,17.94901786385636
Christopher Martinez,8954.019999999999,3899.8903999999998,34,4,0.12,43.55463132760481
Christopher Schild,3651.8585000000003,-342.80330000000004,47,9,0.21428571428571427,-9.387091531613287
Christy Brittain,1949.2,272.3883,44,8,0.3333333333333333,13.974363841576032
Chuck Clark,2870.05,424.6583,63,10,0.05789473684210527,14.796198672496994
Chuck Magee,287.99,64.4296,32,3,0.07777777777777778,22.37216570019792
Chuck Sachs,550.644,156.2593,13,2,0.06666666666666667,28.377554281895378
Cindy Chapman,1659.438,154.851,40,9,0.16153846153846155,9.331532723729358
Cindy Schnelling,1077.2285,-302.8761,33,4,0.25,-28.11623532054713
Cindy Stewart,5690.054999999999,-6626.389499999999,40,6,0.19999999999999998,-116.45563179969263
Claire Gute,1148.7800000000002,169.93439999999998,14,3,0.2,14.792597364160235
Claudia Bergmann,4246.4555,1049.5601,74,8,0.05,24.716145029660616
Clay Cheatham,113.832,33.870599999999996,14,3,0.15000000000000002,29.754901960784313
Clay Ludtke,10880.546,1933.7830999999999,106,12,0.1142857142857143,17.772849818382277
Clay Rozendal,2148.852,74.40129999999999,32,4,0.13333333333333333,3.462374328245966
Clytie Kelty,2372.75,497.70980000000003,108,11,0.184,20.976074175534716
Corey Catlett,2540.631,331.434,39,7,0.27499999999999997,13.045341885539461
Corey Roper,475.9,144.7594,14,3,0.0,30.41802899768859
Corey-Lock,1300.076,205.62820000000002,30,5,0.175,15.81662918167861
Corinna Mitchell,6339.5576,1572.4585,42,6,0.072,24.803915339455234
Craig Carreira,2269.7015,187.8399,47,7,0.16785714285714287,8.275973734872185
Craig Carroll,2854.1150000000002,850.1591,51,4,0.25,29.787135416757906
Craig Leslie,2353.586,229.00990000000002,34,5,0.1875,9.73025417384366
Craig Molinari,3984.4524,176.3108,57,4,0.30923076923076925,4.424969413613775
Craig Reiter,1600.55,306.9176,18,4,0.26666666666666666,19.175758333073006
Craig Yedwab,2900.026,60.64670000000001,43,8,0.2,2.0912467681324243
Cyma Kinney,1582.109,-338.4311,64,9,0.15,-21.391136767441434
Cynthia Arntzen,3041.566,204.48950000000002,72,7,0.18823529411764706,6.723164974884649
Cynthia Delaney,1860.732,403.8422,49,5,0.02666666666666667,21.703404896567587
Cynthia Voltz,2370.3136,98.99749999999999,62,9,0.2431578947368421,4.176557059791581
Cyra Reiten,1397.8724,83.27029999999999,26,3,0.13142857142857142,5.95693140518405
Damala Kotsonis,3256.48,881.1228000000001,86,12,0.17777777777777778,27.057522232594707
Dan Campbell,3336.168,-1441.6312999999998,64,9,0.21111111111111114,-43.21219135247385
Dan Lawera,1503.112,322.2449,51,8,0.15,21.43851555971877
Dan Reichenbach,6528.034000000001,1641.8613,103,9,0.13333333333333333,25.150930586452212
Dana Kaydos,4282.176,937.6496,65,5,0.08000000000000002,21.896568473598464
Daniel Byrd,2171.599,431.3748,47,8,0.15416666666666667,19.86438564394255
Daniel Lacy,3272.2,4.213200000000029,43,6,0.03571428571428571,0.12875741091620407
Daniel Raglin,8350.868,2869.0759999999996,57,8,0.15384615384615383,34.35662017409447
Dario Medina,1322.034,108.7583,28,7,0.16666666666666666,8.226588726159841
Darren Budd,2839.2272,213.00289999999998,43,5,0.16571428571428573,7.502143541031164
Darren Koutras,1687.04,-107.35379999999998,32,5,0.1625,-6.363441293626707
Darren Powers,1050.636,241.4524,58,9,0.2117647058823529,22.981546415694876
Darrin Martin,6345.103,1677.3931,87,7,0.22999999999999998,26.436026334009078
Darrin Sayre,1762.213,193.3319,54,4,0.1394736842105263,10.970972294495613
Darrin Van Huff,1119.483,-427.184,28,5,0.17222222222222222,-38.159043058268864
Dave Brooks,4531.646,473.0272,48,7,0.1846153846153846,10.438308729322635
Dave Hallsten,4932.872,1193.7404,81,6,0.0782608695652174,24.199703539844535
Dave Kipp,2650.557,536.3935,33,7,0.13846153846153847,20.23701056042183
Dave Poirier,2215.002,563.1761,63,8,0.1142857142857143,25.42553460448343
David Bremer,2973.094,-1421.7692,59,7,0.14285714285714285,-47.821199060641874
David Flashing,2390.534,-259.3097,23,3,0.2833333333333334,-10.847354607798927
David Kendrick,797.832,249.9447,20,2,0.12000000000000002,31.327986342989504
David Philippe,1058.616,-40.93759999999999,20,2,0.15000000000000002,-3.867086837909118
David Smith,2881.8128,163.6993,68,9,0.15350000000000003,5.680427958401739
David Wiener,1080.751,-86.87379999999999,39,6,0.24444444444444446,-8.03828078808162
Dean Braden,2332.577,169.9679,75,10,0.18571428571428572,7.28670050334887
Dean Katz,4802.394,209.89940000000004,70,9,0.19473684210526318,4.370724267938033
Dean percer,7198.7609999999995,333.36479999999995,99,11,0.18620689655172415,4.630863561104473
Deanra Eno,2550.874,464.47139999999996,38,5,0.1111111111111111,18.208323892124817
Deborah Brumfield,4655.897,841.8263999999999,52,8,0.2076923076923077,18.08086390227275
Debra Catini,1174.618,132.06820000000002,37,5,0.07857142857142858,11.243502142824308
Deirdre Greer,3195.818,562.7761,39,5,0.1,17.609766889103195
Delfina Latchford,1458.258,288.8732,74,8,0.1823529411764706,19.8094713006889
Denise Leinenbach,585.02,222.6812,32,4,0.05,38.06386106457899
Denise Monton,4074.4719999999998,1319.0586,41,8,0.1,32.37373087850401
Dennis Bolton,1081.466,291.0085,28,5,0.08333333333333333,26.908705405440397
Dennis Kane,3318.486,377.0799,77,8,0.10869565217391304,11.363010119675057
Dennis Pardue,5480.723999999999,1571.8318,50,9,0.18571428571428572,28.679273030351464
Denny Blanton,1711.692,438.9092,62,4,0.028571428571428574,25.64183275963199
Denny Joy,2012.52,483.03499999999997,20,4,0.0,24.001500606205152
Denny Ordway,1300.0315,-38.90860000000001,48,9,0.15769230769230771,-2.9928967105797057
Dianna Arnett,156.76,56.7904,27,4,0.125,36.22760908394999
Dianna Vittorini,3341.587,353.2127,62,6,0.11333333333333334,10.570208107704513
Dianna Wilson,5271.628,1348.7556,38,5,0.03636363636363637,25.58518165545824
Dionis Lloyd,3539.322,-52.78799999999997,33,8,0.05000000000000001,-1.491472095503036
Don Jones,2501.6879999999996,345.2521,52,8,0.06923076923076923,13.800765722983844
Don Miller,1376.792,199.7688,33,3,0.16999999999999998,14.50972986478713
Don Weiss,344.08,69.6672,21,5,0.17777777777777778,20.24738432922576
Dorothy Badders,3908.8028,109.32700000000001,61,7,0.15142857142857144,2.79694335053178
Dorothy Dickinson,269.542,36.4344,33,6,0.24444444444444446,13.517151315935921
Dorothy Wardle,1204.854,-266.8966,44,7,0.17,-22.1517793857181
Dorris liebe,755.602,175.2388,19,5,0.21666666666666667,23.19194496573593
Doug Bickford,1989.05,438.80119999999994,41,7,0.14545454545454548,22.06084311606043
Doug Jacobs,3356.398,731.5644,43,3,0.0625,21.79611595525918
Doug O'Connell,1267.316,294.0676,36,7,0.09090909090909091,23.2039680711046
Duane Benoit,1155.202,177.67350000000002,33,7,0.16,15.38029712552437
Duane Huffman,1043.096,116.667,41,4,0.12272727272727274,11.184684822873447
Duane Noonan,2139.79,540.5405000000001,41,7,0.018181818181818184,25.261380789703665
Ed Braxton,3644.978,13.621500000000005,55,9,0.25833333333333336,0.37370595926779265
Ed Jacobs,2162.174,387.0176,31,4,0.175,17.899466000423647
Ed Ludwig,124.28,27.1154,9,2,0.0,21.817991631799163
Edward Becker,3236.314,-80.28599999999999,91,10,0.145,-2.480785239009564
Edward Hooks,10310.880000000001,1393.5154,120,12,0.07187500000000001,13.514999689648215
Edward Nazzal,2199.366,496.1131,27,4,0.044444444444444446,22.557095999483487
Eileen Kiefer,1303.478,97.10659999999999,18,4,0.0875,7.449807361535828
Eleni McCrary,2567.0099999999998,-133.8275,23,5,0.14285714285714285,-5.213361069882859
Elizabeth Moffitt,2339.598,682.5541999999999,57,8,0.0625,29.173994848687677
Ellis Ballard,4358.128,656.1988,41,5,0.125,15.05689598836932
Elpida Rittenbach,1245.788,-295.7398,27,3,0.2,-23.73917552585191
Emily Burns,2767.219,261.5315,41,10,0.29090909090909095,9.45105898738047
Emily Ducich,3484.92,670.4435000000001,54,8,0.21428571428571427,19.238418672451594
Emily Grady,1832.02,104.2656,44,5,0.2,5.691291579786247
Emily Phan,5478.0608,144.9578,124,17,0.19741935483870968,2.6461517185059353
Eric Barreto,944.6000000000001,0.6042000000000058,24,5,0.17142857142857143,0.06396358246877046
Eric Hoffmann,684.1709999999999,53.53980000000001,72,8,0.29411764705882354,7.825499765409527
Eric Murdock,933.704,102.29599999999999,18,5,0.2333333333333333,10.955934643098884
Erica Bern,1643.255,162.8781,18,4,0.2833333333333333,9.911918722292034
Erica Hackney,825.9499999999999,150.3759,20,6,0.0625,18.20641685332042
Erica Hernandez,1219.53,-94.14079999999997,50,7,0.17272727272727273,-7.719432896279713
Erica Smith,3510.4579999999996,1003.2935,31,5,0.125,28.580131139583496
Erin Ashbrook,2846.705,-52.74059999999998,87,13,0.3,-1.8526893373215694
Erin Creighton,461.914,96.4256,37,5,0.09999999999999999,20.875227856267617
Erin Mull,228.99,40.15459999999999,22,4,0.25,17.535525568802125
Erin Smith,4657.924,246.6661,77,9,0.26,5.295623114503371
Eudokia Martin,1041.0420000000001,240.2362,34,4,0.1,23.076513723749855
Eugene Barchas,3071.126,184.7656,30,6,0.2090909090909091,6.016216853362578
Eugene Hildebrand,3082.653,96.27019999999999,76,10,0.20555555555555557,3.1229658349480136
Eugene Moren,4588.436000000001,1319.3655,74,6,0.06666666666666668,28.754144113593387
Eva Jacobs,2656.691,451.87550000000005,31,5,0.0625,17.008959641900397
Evan Bailliet,1186.326,282.1701,20,6,0.2285714285714286,23.785207438764722
Evan Henry,923.884,242.1107,22,6,0.28750000000000003,26.205746608881636
Evan Minnotte,366.822,21.7721,13,3,0.125,5.935331032489872
Filia McAdams,2456.638,249.6808,48,10,0.09333333333333334,10.163516155005336
Frank Atkinson,2984.054,520.5229,58,7,0.25882352941176473,17.44348125067442
Frank Carlisle,3418.742,1217.1662000000001,50,7,0.1357142857142857,35.60275095342088
Frank Gastineau,1383.144,394.73969999999997,48,7,0.11818181818181818,28.53930610261838
Frank Hawley,4256.272,1073.2676,65,10,0.1285714285714286,25.216142201438252
Frank Merwin,3736.198,198.10949999999997,79,9,0.18,5.302435791679134
Frank Olsen,2678.438,215.59689999999998,60,10,0.22,8.049351898382563
Frank Preis,4046.746,406.44730000000004,54,8,0.13571428571428573,10.04380556625002
Fred Chung,3889.366,714.2926,37,7,0.16,18.365270843628497
Fred Harton,2271.284,706.289,52,4,0.10714285714285714,31.096463498179883
Fred Hopkins,6987.196,2050.2826,52,8,0.13846153846153847,29.343424744346656
Fred McMath,2523.266,191.4898,53,9,0.15714285714285717,7.588966046385915
Fred Wasserman,79.75,23.491300000000003,9,3,0.0,29.456175548589346
Gary Hansen,2819.4669999999996,-576.8335,65,9,0.27058823529411763,-20.45895554017834
Gary Hwang,4172.8460000000005,1176.4181,51,4,0.19,28.192224203816767
Gary McGarr,3582.8199999999997,347.266,43,7,0.11818181818181818,9.692532697707394
Gary Mitchum,3078.624,793.2814000000001,54,6,0.16666666666666666,25.767401280572106
Gary Zandusky,4355.150000000001,1087.7539,48,9,0.07857142857142858,24.97626717793876
Gene Hale,1361.2440000000001,-95.4498,15,2,0.4666666666666666,-7.011953771697065
Gene McClure,1255.682,441.3185,53,10,0.11538461538461539,35.14572160785931
George Ashbrook,3919.7760000000003,840.899,48,8,0.0642857142857143,21.452730972382096
George Bell,1568.44,7.837100000000003,62,11,0.16999999999999998,0.49967483614291924
George Zrebassa,2454.6220000000003,828.661,25,4,0.04,33.75921017574192
Georgia Rosenberg,1284.38,359.83320000000003,23,2,0.0,28.01610115386412
Giulietta Baptist,4716.288,1135.8393,63,5,0.037500000000000006,24.083332061146397
Giulietta Dortch,1888.07,230.93729999999996,25,4,0.13333333333333333,12.231395022430311
Giulietta Weimer,2189.019,-268.54229999999995,43,7,0.15555555555555556,-12.267700737179531
Grace Kelly,6497.27,1448.5525,66,9,0.15714285714285717,22.29478688741579
Grant Thornton,9351.212,-4108.6589,26,3,0.25,-43.93718054943039
Greg Guthrie,2224.0,12.698500000000008,92,9,0.15,0.5709757194244608
Greg Hansen,146.94080000000002,-5.810200000000001,9,2,0.24,-3.954109410048128
Greg Matthias,3163.628,35.48649999999999,31,6,0.14545454545454548,1.121702678064551
Greg Maxwell,6049.966,188.7235,44,3,0.05454545454545456,3.1194142248072136
Greg Tran,11820.119999999999,2163.4269,106,11,0.1,18.30291824448483
Guy Armstrong,1398.382,136.70790000000002,79,11,0.17954545454545456,9.776148434404906
Guy Phonely,236.53,31.837600000000002,21,2,0.13999999999999999,13.460279879930665
Guy Thornton,226.436,-6.139200000000002,23,4,0.2,-2.711229663127772
Hallie Redmond,1299.288,185.5794,38,5,0.04615384615384616,14.283161239078634
Harold Dahlen,251.36,-135.87599999999998,31,3,0.3,-54.0563335455124
Harold Engle,883.5319999999999,274.4028,44,4,0.018181818181818184,31.057482920822338
Harold Pawlan,1990.314,373.8637,44,7,0.3,18.78415667075647
Harold Ryan,5248.787,1196.9504,51,7,0.09999999999999999,22.80432412288782
Harry Greene,785.628,147.0032,31,5,0.19,18.711553050553185
Harry Marie,8236.7648,2437.9836,76,10,0.231,29.598800733025666
Heather Jas,358.1,98.6548,21,5,0.10000000000000002,27.54951130969003
Heather Kirkland,4877.784,956.9451,64,8,0.21333333333333335,19.618439438892747
Helen Abelman,2163.3,270.8574,45,7,0.22999999999999998,12.520565802246567
Helen Andreada,2584.158,99.1445,72,8,0.2,3.836626862598959
Helen Wasserman,9300.254,2164.1611,85,8,0.045,23.26991391848007
Henia Zydlo,886.52,-130.3879,21,5,0.19999999999999998,-14.707835130623112
Henry Goldwyn,3247.642,-2797.9635000000003,68,12,0.17058823529411765,-86.15369243284822
Henry MacAllister,736.276,117.2755,29,4,0.17142857142857146,15.928198121356665
Herbert Flentye,2533.1639999999998,-13.876799999999989,70,7,0.13157894736842105,-0.5478050374946111
Hilary Holden,218.668,86.7342,20,2,0.03333333333333333,39.66478862933763
Hunter Glantz,3690.284,804.6113,38,7,0.17272727272727273,21.80350618001216
Hunter Lopez,12873.297999999999,5622.4292000000005,50,6,0.018181818181818184,43.675126607027984
Ionia McGrath,2872.63,975.7701,19,3,0.1,33.967830872754234
Irene Maddox,4930.474,514.6527,93,7,0.16666666666666666,10.438199248185875
Ivan Gibson,744.574,320.4982,19,4,0.028571428571428574,43.04450598597319
Ivan Liston,5040.736,1121.937,60,7,0.07142857142857142,22.257404474267247
Jack Garza,2358.676,684.1911,20,3,0.24285714285714288,29.00742196045578
Jack Lebron,1214.956,-207.79559999999998,42,6,0.26666666666666666,-17.10313789141335
Jack O'Briant,3254.949,581.4045,59,9,0.07307692307692308,17.862169269011588
James Galang,6366.392,1415.6664,70,11,0.1111111111111111,22.236557221107343
James Lanier,1571.523,209.2817,29,5,0.21428571428571427,13.317126125421009
Jamie Frazer,2279.5860000000002,575.1259,72,7,0.12105263157894736,25.229401303570032
Jamie Kunitz,4427.142,1219.983,67,5,0.13076923076923078,27.556897881296784
Jane Waco,7721.714,2173.7093999999997,66,6,0.07142857142857142,28.15060749465727
Janet Lee,2203.7,54.51740000000002,39,5,0.22000000000000003,2.4739029813495494
