Customer Name,Sales,Profit,Orders,Performance
Anne Pryor,1638.554,285.7888,8,Low Sales - High Profit
Annie Thurman,3831.864,974.107,10,High Sales - High Profit
Annie Zypern,1622.0179999999998,154.9503,6,Low Sales - Low Profit
Anthony Garverick,170.584,-8.431000000000001,4,Low Sales - Low Profit
Anthony Jacobs,4867.344,150.71300000000005,7,High Sales - Low Profit
Anthony Johnson,4501.391,1158.7064,7,High Sales - High Profit
Anthony O'Donnell,161.28,12.096,1,Low Sales - Low Profit
Anthony Rawles,4523.336,494.83519999999993,8,High Sales - High Profit
Anthony Witt,649.376,65.77250000000001,4,Low Sales - Low Profit
Arianne Irving,4375.786,867.7271000000001,10,High Sales - High Profit
Art Ferguson,2052.908,317.9712,7,Low Sales - High Profit
Art Foster,861.565,-163.1175,4,Low Sales - Low Profit
Arthur Gainer,4510.797,343.6824,10,High Sales - High Profit
Arthur Prichep,3323.556,579.3113,10,High Sales - High Profit
Arthur Wiediger,2852.968,-104.5486,7,High Sales - Low Profit
Ashley Jarboe,1839.24,521.1351999999999,7,Low Sales - High Profit
Astrea Jones,629.2479999999999,60.4265,3,Low Sales - Low Profit
Barbara Fisher,599.798,227.4384,7,Low Sales - Low Profit
Barry Blumstein,744.3399999999999,11.583900000000007,5,Low Sales - Low Profit
Barry Franz,1333.88,-291.38109999999995,4,Low Sales - Low Profit
Barry Französisch,2888.506,302.02,8,High Sales - High Profit
Barry Gonzalez,2798.948,-711.4274,8,High Sales - Low Profit
Barry Pond,983.42,209.78300000000002,5,Low Sales - Low Profit
Barry Weirich,385.516,-58.28659999999999,3,Low Sales - Low Profit
Bart Folk,272.95,110.9272,3,Low Sales - Low Profit
Bart Pistole,2442.044,433.9751,12,High Sales - High Profit
Bart Watters,4750.358,921.2574,8,High Sales - High Profit
Becky Castell,2933.676,251.5974,9,High Sales - High Profit
Becky Martin,11789.63,-1659.9580999999998,4,High Sales - Low Profit
Becky Pak,1697.8609999999999,647.3847000000001,6,Low Sales - High Profit
Ben Ferrer,5907.972,1538.2127,11,High Sales - High Profit
Ben Peterman,3675.861,363.5991,9,High Sales - High Profit
Ben Wallace,1738.406,246.9973,6,Low Sales - High Profit
Benjamin Farhat,1585.162,523.2133,4,Low Sales - High Profit
Benjamin Patterson,1181.49,-197.2695,5,Low Sales - Low Profit
Benjamin Venier,1523.2730000000001,315.2214,5,Low Sales - High Profit
Berenike Kampe,659.1379999999999,-63.764399999999995,6,Low Sales - Low Profit
Beth Fritzler,791.9899999999999,25.870199999999997,3,Low Sales - Low Profit
Beth Paige,2475.157,-319.0637,7,High Sales - Low Profit
Beth Thompson,2567.656,417.5918,5,High Sales - High Profit
Bill Donatelli,5718.521,1094.5037,12,High Sales - High Profit
Bill Eplett,4204.676,1487.7739000000001,5,High Sales - High Profit
Bill Overfelt,2682.728,278.77700000000004,5,High Sales - High Profit
Bill Shonely,10501.653,2616.0643999999998,5,High Sales - High Profit
Bill Stewart,3887.834,-17.532200000000024,5,High Sales - Low Profit
Bill Tyler,2186.6130000000003,257.9163,6,Low Sales - High Profit
Bobby Elias,2261.438,755.9150999999999,5,High Sales - High Profit
Bobby Odegard,130.83,59.4522,2,Low Sales - Low Profit
Bobby Trafton,603.876,-77.5256,4,Low Sales - Low Profit
Brad Eason,1727.652,139.20080000000002,6,Low Sales - Low Profit
Brad Norvell,265.296,36.6131,4,Low Sales - Low Profit
Brad Thomas,415.19599999999997,126.8694,2,Low Sales - Low Profit
Bradley Drucker,4411.2429999999995,1142.1225,6,High Sales - High Profit
Bradley Nguyen,1459.344,340.7054,5,Low Sales - High Profit
Bradley Talbott,2684.4919999999997,409.4983,5,High Sales - High Profit
Brenda Bowman,6765.728,1015.0749999999999,9,High Sales - High Profit
Brendan Dodson,320.54,116.714,2,Low Sales - Low Profit
Brendan Murry,808.162,95.58160000000001,6,Low Sales - Low Profit
Brendan Sweed,2454.928,381.7807,6,High Sales - High Profit
Brian Dahlen,3288.471,634.8463,7,High Sales - High Profit
Brian DeCherney,1538.11,206.75689999999997,6,Low Sales - Low Profit
Brian Derr,582.646,141.53400000000002,3,Low Sales - Low Profit
Brian Moss,7294.185,2199.2781,11,High Sales - High Profit
Brian Stugart,3288.1099999999997,238.73680000000002,3,High Sales - High Profit
Brian Thompson,3196.752,447.74839999999995,7,High Sales - High Profit
Brooke Gillingham,1874.172,107.5715,6,Low Sales - Low Profit
Brosina Hoffman,6255.351,802.7898,8,High Sales - High Profit
Bruce Degenhardt,1526.5,333.9791,6,Low Sales - High Profit
Bruce Geld,1006.356,119.34790000000001,6,Low Sales - Low Profit
Bruce Stewart,2562.382,-113.29840000000003,7,High Sales - Low Profit
Bryan Davis,658.466,141.265,6,Low Sales - Low Profit
Bryan Mills,1338.842,137.7439,10,Low Sales - Low Profit
Bryan Spruell,949.4300000000001,194.0516,2,Low Sales - Low Profit
Candace McMahon,1673.888,214.463,6,Low Sales - Low Profit
Cari Sayre,1278.954,185.3776,5,Low Sales - Low Profit
Cari Schnelling,537.632,105.8275,6,Low Sales - Low Profit
Carl Jackson,16.52,1.652,1,Low Sales - Low Profit
Carl Ludwig,1262.0140000000001,328.0847,4,Low Sales - High Profit
Carl Weiss,1136.592,370.8298,6,Low Sales - High Profit
Carlos Daly,2033.968,426.661,5,Low Sales - High Profit
Carlos Meador,565.392,-43.732400000000005,2,Low Sales - Low Profit
Carlos Soltero,3036.547,-126.4223,11,High Sales - Low Profit
Carol Adams,3789.7228,1143.3817,6,High Sales - High Profit
Carol Darley,639.766,-206.7172,3,Low Sales - Low Profit
Carol Triggs,3241.898,161.22629999999995,8,High Sales - Low Profit
Caroline Jumper,11164.974,858.7414,8,High Sales - High Profit
Cassandra Brandow,6076.139,150.2089,10,High Sales - Low Profit
Catherine Glotzbach,904.4680000000001,86.5106,6,Low Sales - Low Profit
Cathy Armstrong,1679.7240000000002,211.2559,5,Low Sales - Low Profit
Cathy Hwang,1537.236,195.15109999999999,3,Low Sales - Low Profit
Cathy Prescott,5402.254,427.0258,8,High Sales - High Profit
Chad Cunningham,1770.945,208.5912,6,Low Sales - Low Profit
Chad McGuire,1661.6100000000001,409.0679,4,Low Sales - High Profit
Chad Sievert,884.64,143.8339,4,Low Sales - Low Profit
Charles Crestani,2471.65,392.2825,7,High Sales - High Profit
Charles McCrossin,2533.314,-394.3686,6,High Sales - Low Profit
Charles Sheldon,844.4580000000001,113.1405,5,Low Sales - Low Profit
Charlotte Melton,1475.144,91.2033,6,Low Sales - Low Profit
Chloris Kastensmidt,3154.855,141.2831,13,High Sales - Low Profit
Chris Cortes,3913.418,393.9618,12,High Sales - High Profit
Chris McAfee,2305.712,365.0387,5,High Sales - High Profit
Chris Selesnick,2754.216,738.3626,12,High Sales - High Profit
Christina Anderson,2648.2872,279.6183,9,High Sales - High Profit
Christina DeMoss,1205.584,233.0274,2,Low Sales - High Profit
Christina VanderZanden,2830.6279999999997,493.0861,5,High Sales - High Profit
Christine Abelman,1421.954,246.02179999999998,4,Low Sales - High Profit
Christine Kargatis,2945.321,261.22090000000003,5,High Sales - High Profit
Christine Phan,5888.275,-1850.3029000000001,8,High Sales - Low Profit
Christine Sundaresam,3202.1620000000003,831.9432,11,High Sales - High Profit
Christopher Conant,12129.072000000002,2177.0493,5,High Sales - High Profit
Christopher Martinez,8954.019999999999,3899.8903999999998,4,High Sales - High Profit
Christopher Schild,3651.8585000000003,-342.80330000000004,9,High Sales - Low Profit
Christy Brittain,1949.2,272.3883,8,Low Sales - High Profit
Chuck Clark,2870.05,424.6583,10,High Sales - High Profit
Chuck Magee,287.99,64.4296,3,Low Sales - Low Profit
Chuck Sachs,550.644,156.2593,2,Low Sales - Low Profit
Cindy Chapman,1659.438,154.851,9,Low Sales - Low Profit
Cindy Schnelling,1077.2285,-302.8761,4,Low Sales - Low Profit
Cindy Stewart,5690.054999999999,-6626.389499999999,6,High Sales - Low Profit
Claire Gute,1148.7800000000002,169.93439999999998,3,Low Sales - Low Profit
Claudia Bergmann,4246.4555,1049.5601,8,High Sales - High Profit
Clay Cheatham,113.832,33.870599999999996,3,Low Sales - Low Profit
Clay Ludtke,10880.546,1933.7830999999999,12,High Sales - High Profit
Clay Rozendal,2148.852,74.40129999999999,4,Low Sales - Low Profit
Clytie Kelty,2372.75,497.70980000000003,11,High Sales - High Profit
Corey Catlett,2540.631,331.434,7,High Sales - High Profit
Corey Roper,475.9,144.7594,3,Low Sales - Low Profit
Corey-Lock,1300.076,205.62820000000002,5,Low Sales - Low Profit
Corinna Mitchell,6339.5576,1572.4585,6,High Sales - High Profit
Craig Carreira,2269.7015,187.8399,7,High Sales - Low Profit
Craig Carroll,2854.1150000000002,850.1591,4,High Sales - High Profit
Craig Leslie,2353.586,229.00990000000002,5,High Sales - High Profit
Craig Molinari,3984.4524,176.3108,4,High Sales - Low Profit
Craig Reiter,1600.55,306.9176,4,Low Sales - High Profit
Craig Yedwab,2900.026,60.64670000000001,8,High Sales - Low Profit
Cyma Kinney,1582.109,-338.4311,9,Low Sales - Low Profit
Cynthia Arntzen,3041.566,204.48950000000002,7,High Sales - Low Profit
Cynthia Delaney,1860.732,403.8422,5,Low Sales - High Profit
Cynthia Voltz,2370.3136,98.99749999999999,9,High Sales - Low Profit
Cyra Reiten,1397.8724,83.27029999999999,3,Low Sales - Low Profit
Damala Kotsonis,3256.48,881.1228000000001,12,High Sales - High Profit
Dan Campbell,3336.168,-1441.6312999999998,9,High Sales - Low Profit
Dan Lawera,1503.112,322.2449,8,Low Sales - High Profit
Dan Reichenbach,6528.034000000001,1641.8613,9,High Sales - High Profit
Dana Kaydos,4282.176,937.6496,5,High Sales - High Profit
Daniel Byrd,2171.599,431.3748,8,Low Sales - High Profit
Daniel Lacy,3272.2,4.213200000000029,6,High Sales - Low Profit
Daniel Raglin,8350.868,2869.0759999999996,8,High Sales - High Profit
Dario Medina,1322.034,108.7583,7,Low Sales - Low Profit
Darren Budd,2839.2272,213.00289999999998,5,High Sales - Low Profit
Darren Koutras,1687.04,-107.35379999999998,5,Low Sales - Low Profit
Darren Powers,1050.636,241.4524,9,Low Sales - High Profit
Darrin Martin,6345.103,1677.3931,7,High Sales - High Profit
Darrin Sayre,1762.213,193.3319,4,Low Sales - Low Profit
Darrin Van Huff,1119.483,-427.184,5,Low Sales - Low Profit
Dave Brooks,4531.646,473.0272,7,High Sales - High Profit
Dave Hallsten,4932.872,1193.7404,6,High Sales - High Profit
Dave Kipp,2650.557,536.3935,7,High Sales - High Profit
Dave Poirier,2215.002,563.1761,8,Low Sales - High Profit
David Bremer,2973.094,-1421.7692,7,High Sales - Low Profit
David Flashing,2390.534,-259.3097,3,High Sales - Low Profit
David Kendrick,797.832,249.9447,2,Low Sales - High Profit
David Philippe,1058.616,-40.93759999999999,2,Low Sales - Low Profit
David Smith,2881.8128,163.6993,9,High Sales - Low Profit
David Wiener,1080.751,-86.87379999999999,6,Low Sales - Low Profit
Dean Braden,2332.577,169.9679,10,High Sales - Low Profit
Dean Katz,4802.394,209.89940000000004,9,High Sales - Low Profit
Dean percer,7198.7609999999995,333.36479999999995,11,High Sales - High Profit
Deanra Eno,2550.874,464.47139999999996,5,High Sales - High Profit
Deborah Brumfield,4655.897,841.8263999999999,8,High Sales - High Profit
Debra Catini,1174.618,132.06820000000002,5,Low Sales - Low Profit
Deirdre Greer,3195.818,562.7761,5,High Sales - High Profit
Delfina Latchford,1458.258,288.8732,8,Low Sales - High Profit
Denise Leinenbach,585.02,222.6812,4,Low Sales - Low Profit
Denise Monton,4074.4719999999998,1319.0586,8,High Sales - High Profit
Dennis Bolton,1081.466,291.0085,5,Low Sales - High Profit
Dennis Kane,3318.486,377.0799,8,High Sales - High Profit
Dennis Pardue,5480.723999999999,1571.8318,9,High Sales - High Profit
Denny Blanton,1711.692,438.9092,4,Low Sales - High Profit
Denny Joy,2012.52,483.03499999999997,4,Low Sales - High Profit
Denny Ordway,1300.0315,-38.90860000000001,9,Low Sales - Low Profit
Dianna Arnett,156.76,56.7904,4,Low Sales - Low Profit
Dianna Vittorini,3341.587,353.2127,6,High Sales - High Profit
Dianna Wilson,5271.628,1348.7556,5,High Sales - High Profit
Dionis Lloyd,3539.322,-52.78799999999997,8,High Sales - Low Profit
Don Jones,2501.6879999999996,345.2521,8,High Sales - High Profit
Don Miller,1376.792,199.7688,3,Low Sales - Low Profit
Don Weiss,344.08,69.6672,5,Low Sales - Low Profit
Dorothy Badders,3908.8028,109.32700000000001,7,High Sales - Low Profit
Dorothy Dickinson,269.542,36.4344,6,Low Sales - Low Profit
Dorothy Wardle,1204.854,-266.8966,7,Low Sales - Low Profit
Dorris liebe,755.602,175.2388,5,Low Sales - Low Profit
Doug Bickford,1989.05,438.80119999999994,7,Low Sales - High Profit
Doug Jacobs,3356.398,731.5644,3,High Sales - High Profit
Doug O'Connell,1267.316,294.0676,7,Low Sales - High Profit
Duane Benoit,1155.202,177.67350000000002,7,Low Sales - Low Profit
Duane Huffman,1043.096,116.667,4,Low Sales - Low Profit
Duane Noonan,2139.79,540.5405000000001,7,Low Sales - High Profit
Ed Braxton,3644.978,13.621500000000005,9,High Sales - Low Profit
Ed Jacobs,2162.174,387.0176,4,Low Sales - High Profit
Ed Ludwig,124.28,27.1154,2,Low Sales - Low Profit
Edward Becker,3236.314,-80.28599999999999,10,High Sales - Low Profit
Edward Hooks,10310.880000000001,1393.5154,12,High Sales - High Profit
Edward Nazzal,2199.366,496.1131,4,Low Sales - High Profit
Eileen Kiefer,1303.478,97.10659999999999,4,Low Sales - Low Profit
Eleni McCrary,2567.0099999999998,-133.8275,5,High Sales - Low Profit
Elizabeth Moffitt,2339.598,682.5541999999999,8,High Sales - High Profit
Ellis Ballard,4358.128,656.1988,5,High Sales - High Profit
Elpida Rittenbach,1245.788,-295.7398,3,Low Sales - Low Profit
Emily Burns,2767.219,261.5315,10,High Sales - High Profit
Emily Ducich,3484.92,670.4435000000001,8,High Sales - High Profit
Emily Grady,1832.02,104.2656,5,Low Sales - Low Profit
Emily Phan,5478.0608,144.9578,17,High Sales - Low Profit
Eric Barreto,944.6000000000001,0.6042000000000058,5,Low Sales - Low Profit
Eric Hoffmann,684.1709999999999,53.53980000000001,8,Low Sales - Low Profit
Eric Murdock,933.704,102.29599999999999,5,Low Sales - Low Profit
Erica Bern,1643.255,162.8781,4,Low Sales - Low Profit
Erica Hackney,825.9499999999999,150.3759,6,Low Sales - Low Profit
Erica Hernandez,1219.53,-94.14079999999997,7,Low Sales - Low Profit
Erica Smith,3510.4579999999996,1003.2935,5,High Sales - High Profit
Erin Ashbrook,2846.705,-52.74059999999998,13,High Sales - Low Profit
Erin Creighton,461.914,96.4256,5,Low Sales - Low Profit
Erin Mull,228.99,40.15459999999999,4,Low Sales - Low Profit
Erin Smith,4657.924,246.6661,9,High Sales - High Profit
Eudokia Martin,1041.0420000000001,240.2362,4,Low Sales - High Profit
Eugene Barchas,3071.126,184.7656,6,High Sales - Low Profit
Eugene Hildebrand,3082.653,96.27019999999999,10,High Sales - Low Profit
Eugene Moren,4588.436000000001,1319.3655,6,High Sales - High Profit
Eva Jacobs,2656.691,451.87550000000005,5,High Sales - High Profit
Evan Bailliet,1186.326,282.1701,6,Low Sales - High Profit
Evan Henry,923.884,242.1107,6,Low Sales - High Profit
Evan Minnotte,366.822,21.7721,3,Low Sales - Low Profit
Filia McAdams,2456.638,249.6808,10,High Sales - High Profit
Frank Atkinson,2984.054,520.5229,7,High Sales - High Profit
Frank Carlisle,3418.742,1217.1662000000001,7,High Sales - High Profit
Frank Gastineau,1383.144,394.73969999999997,7,Low Sales - High Profit
Frank Hawley,4256.272,1073.2676,10,High Sales - High Profit
Frank Merwin,3736.198,198.10949999999997,9,High Sales - Low Profit
Frank Olsen,2678.438,215.59689999999998,10,High Sales - Low Profit
Frank Preis,4046.746,406.44730000000004,8,High Sales - High Profit
Fred Chung,3889.366,714.2926,7,High Sales - High Profit
Fred Harton,2271.284,706.289,4,High Sales - High Profit
Fred Hopkins,6987.196,2050.2826,8,High Sales - High Profit
Fred McMath,2523.266,191.4898,9,High Sales - Low Profit
Fred Wasserman,79.75,23.491300000000003,3,Low Sales - Low Profit
Gary Hansen,2819.4669999999996,-576.8335,9,High Sales - Low Profit
Gary Hwang,4172.8460000000005,1176.4181,4,High Sales - High Profit
Gary McGarr,3582.8199999999997,347.266,7,High Sales - High Profit
Gary Mitchum,3078.624,793.2814000000001,6,High Sales - High Profit
Gary Zandusky,4355.150000000001,1087.7539,9,High Sales - High Profit
Gene Hale,1361.2440000000001,-95.4498,2,Low Sales - Low Profit
Gene McClure,1255.682,441.3185,10,Low Sales - High Profit
George Ashbrook,3919.7760000000003,840.899,8,High Sales - High Profit
George Bell,1568.44,7.837100000000003,11,Low Sales - Low Profit
George Zrebassa,2454.6220000000003,828.661,4,High Sales - High Profit
Georgia Rosenberg,1284.38,359.83320000000003,2,Low Sales - High Profit
Giulietta Baptist,4716.288,1135.8393,5,High Sales - High Profit
Giulietta Dortch,1888.07,230.93729999999996,4,Low Sales - High Profit
Giulietta Weimer,2189.019,-268.54229999999995,7,Low Sales - Low Profit
Grace Kelly,6497.27,1448.5525,9,High Sales - High Profit
Grant Thornton,9351.212,-4108.6589,3,High Sales - Low Profit
Greg Guthrie,2224.0,12.698500000000008,9,Low Sales - Low Profit
Greg Hansen,146.94080000000002,-5.810200000000001,2,Low Sales - Low Profit
Greg Matthias,3163.628,35.48649999999999,6,High Sales - Low Profit
Greg Maxwell,6049.966,188.7235,3,High Sales - Low Profit
Greg Tran,11820.119999999999,2163.4269,11,High Sales - High Profit
Guy Armstrong,1398.382,136.70790000000002,11,Low Sales - Low Profit
Guy Phonely,236.53,31.837600000000002,2,Low Sales - Low Profit
Guy Thornton,226.436,-6.139200000000002,4,Low Sales - Low Profit
Hallie Redmond,1299.288,185.5794,5,Low Sales - Low Profit
Harold Dahlen,251.36,-135.87599999999998,3,Low Sales - Low Profit
Harold Engle,883.5319999999999,274.4028,4,Low Sales - High Profit
Harold Pawlan,1990.314,373.8637,7,Low Sales - High Profit
Harold Ryan,5248.787,1196.9504,7,High Sales - High Profit
Harry Greene,785.628,147.0032,5,Low Sales - Low Profit
Harry Marie,8236.7648,2437.9836,10,High Sales - High Profit
Heather Jas,358.1,98.6548,5,Low Sales - Low Profit
Heather Kirkland,4877.784,956.9451,8,High Sales - High Profit
Helen Abelman,2163.3,270.8574,7,Low Sales - High Profit
Helen Andreada,2584.158,99.1445,8,High Sales - Low Profit
Helen Wasserman,9300.254,2164.1611,8,High Sales - High Profit
Henia Zydlo,886.52,-130.3879,5,Low Sales - Low Profit
Henry Goldwyn,3247.642,-2797.9635000000003,12,High Sales - Low Profit
Henry MacAllister,736.276,117.2755,4,Low Sales - Low Profit
Herbert Flentye,2533.1639999999998,-13.876799999999989,7,High Sales - Low Profit
Hilary Holden,218.668,86.7342,2,Low Sales - Low Profit
Hunter Glantz,3690.284,804.6113,7,High Sales - High Profit
Hunter Lopez,12873.297999999999,5622.4292000000005,6,High Sales - High Profit
Ionia McGrath,2872.63,975.7701,3,High Sales - High Profit
Irene Maddox,4930.474,514.6527,7,High Sales - High Profit
Ivan Gibson,744.574,320.4982,4,Low Sales - High Profit
Ivan Liston,5040.736,1121.937,7,High Sales - High Profit
Jack Garza,2358.676,684.1911,3,High Sales - High Profit
Jack Lebron,1214.956,-207.79559999999998,6,Low Sales - Low Profit
Jack O'Briant,3254.949,581.4045,9,High Sales - High Profit
James Galang,6366.392,1415.6664,11,High Sales - High Profit
James Lanier,1571.523,209.2817,5,Low Sales - Low Profit
Jamie Frazer,2279.5860000000002,575.1259,7,High Sales - High Profit
Jamie Kunitz,4427.142,1219.983,5,High Sales - High Profit
Jane Waco,7721.714,2173.7093999999997,6,High Sales - High Profit
Janet Lee,2203.7,54.51740000000002,5,Low Sales - Low Profit
Janet Martin,3159.1220000000003,19.82350000000004,6,High Sales - Low Profit
Janet Molinari,1804.146,502.6143,5,Low Sales - High Profit
Jas O'Carroll,1934.272,202.13619999999997,6,Low Sales - Low Profit
Jason Fortune-,955.124,97.28899999999999,5,Low Sales - Low Profit
Jason Gross,2240.58,3.7976000000000063,6,Low Sales - Low Profit
Jason Klamczynski,383.812,55.32769999999999,3,Low Sales - Low Profit
Jasper Cacioppo,71.263,-0.35560000000000036,4,Low Sales - Low Profit
Jay Fein,1911.844,330.199,6,Low Sales - High Profit
Jay Kimmel,2709.632,330.2838,8,High Sales - High Profit
Jenna Caffey,1058.108,502.92440000000005,1,Low Sales - High Profit
Jennifer Braxton,1791.605,156.05319999999998,10,Low Sales - Low Profit
Jennifer Ferguson,2371.448,635.6376,6,High Sales - High Profit
Jennifer Halladay,309.281,-24.077100000000005,4,Low Sales - Low Profit
Jennifer Jackson,709.178,200.5558,5,Low Sales - Low Profit
Jennifer Patt,1669.135,429.7465,7,Low Sales - High Profit
Jeremy Ellison,1388.682,276.2197,6,Low Sales - High Profit
Jeremy Farry,1082.918,-18.06730000000001,11,Low Sales - Low Profit
Jeremy Lonsdale,3173.874,591.7163,6,High Sales - High Profit
Jeremy Pistek,3635.594,757.1802,7,High Sales - High Profit
Jessica Myrick,1733.443,356.5395,7,Low Sales - High Profit
Jesus Ocampo,1090.838,167.6709,5,Low Sales - Low Profit
Jill Fjeld,4198.332,1073.2088,8,High Sales - High Profit
Jill Matthias,303.948,113.1204,5,Low Sales - Low Profit
Jill Stevenson,1417.654,-175.54899999999998,4,Low Sales - Low Profit
Jim Epp,7754.976,1623.4019,7,High Sales - High Profit
Jim Karlsson,3760.028,750.9485,7,High Sales - High Profit
Jim Kriz,4760.434,1172.5303,9,High Sales - High Profit
Jim Mitchum,864.947,117.20400000000001,5,Low Sales - Low Profit
Jim Radford,1156.658,-785.1645,2,Low Sales - Low Profit
Jim Sink,1131.0639999999999,-54.8692,4,Low Sales - Low Profit
Jocasta Rupert,863.88,107.985,1,Low Sales - Low Profit
Joe Elijah,8697.842999999999,1262.2926,10,High Sales - High Profit
Joe Kamberova,4867.2,55.0483,10,High Sales - Low Profit
Joel Eaton,6760.8150000000005,221.79670000000002,13,High Sales - Low Profit
Joel Jenkins,195.0,34.449200000000005,2,Low Sales - Low Profit
John Castell,2772.055,279.56919999999997,9,High Sales - High Profit
John Dryer,2152.352,-266.55249999999995,5,Low Sales - Low Profit
John Grady,1507.018,206.1019,6,Low Sales - Low Profit
John Huston,528.91,26.082199999999997,6,Low Sales - Low Profit
John Lee,9799.923,228.907,11,High Sales - High Profit
John Lucas,2725.256,779.9046,6,High Sales - High Profit
John Murray,7625.076000000001,1574.6163999999999,7,High Sales - High Profit
John Stevenson,3868.02,564.9798000000001,5,High Sales - High Profit
Jonathan Doherty,7610.8640000000005,1050.2667999999999,11,High Sales - High Profit
Jonathan Howell,959.477,-13.554499999999996,7,Low Sales - Low Profit
Joni Blumstein,900.552,-286.9808,3,Low Sales - Low Profit
Joni Sundaresam,469.169,-327.9336,5,Low Sales - Low Profit
Joni Wasserman,1244.086,-29.575899999999987,7,Low Sales - Low Profit
Joseph Airdo,6491.026,-819.4217000000001,8,High Sales - Low Profit
Joseph Holt,7954.9980000000005,-644.6982,6,High Sales - Low Profit
Joy Bell-,644.1188,126.76490000000001,7,Low Sales - Low Profit
Joy Daniels,385.43,26.7605,6,Low Sales - Low Profit
Joy Smith,2516.494,-311.25749999999994,6,High Sales - Low Profit
Julia Barnett,2518.115,201.51850000000002,5,High Sales - Low Profit
Julia Dunbar,695.442,111.11410000000001,3,Low Sales - Low Profit
Julia West,1428.731,154.06369999999998,4,Low Sales - Low Profit
Juliana Krohn,3747.668,586.6625,3,High Sales - High Profit
Julie Creighton,858.576,201.5952,5,Low Sales - Low Profit
Julie Kriz,2932.484,122.6566,10,High Sales - Low Profit
Julie Prescott,1707.71,309.7116,9,Low Sales - High Profit
Justin Deggeller,8828.0305,1619.5199,8,High Sales - High Profit
Justin Ellison,2697.248,789.6476,3,High Sales - High Profit
Justin Hirsh,2256.3940000000002,-96.95300000000002,4,High Sales - Low Profit
Justin MacKendrick,2833.9260000000004,754.1144,10,High Sales - High Profit
Justin Ritter,2201.686,452.37300000000005,5,Low Sales - High Profit
Kalyca Meade,2260.958,635.1057000000001,6,High Sales - High Profit
Karen Bern,3152.6150000000002,763.9076,7,High Sales - High Profit
Karen Carlisle,2120.954,846.1217,6,Low Sales - High Profit
Karen Daniels,8282.358,1107.6952000000003,5,High Sales - High Profit
Karen Ferguson,10604.266,1660.1386,7,High Sales - High Profit
Karen Seio,88.472,0.11099999999999888,3,Low Sales - Low Profit
